#time;x;y;z
2020-11-23 10:23:51.939217;-0.283;0.619;-120.2162278001038
#time;x;y;z
2020-11-23 10:23:52.041140;-0.294;0.6;-120.30393480647322
#time;x;y;z
2020-11-23 10:23:52.139468;-0.305;0.58;-120.2162278001038
#time;x;y;z
2020-11-23 10:23:52.241876;-0.316;0.561;-120.2162278001038
#time;x;y;z
2020-11-23 10:23:52.340697;-0.326;0.543;-120.12852079373437
#time;x;y;z
2020-11-23 10:23:52.443661;-0.335;0.526;-119.60227875551782
#time;x;y;z
2020-11-23 10:23:52.539593;-0.342;0.513;-117.05877557080436
#time;x;y;z
2020-11-23 10:23:52.641811;-0.347;0.502;-113.81361633513566
#time;x;y;z
2020-11-23 10:23:52.739283;-0.351;0.493;-110.9192851249446
#time;x;y;z
2020-11-23 10:23:52.841855;-0.353;0.487;-108.3757819402312
#time;x;y;z
2020-11-23 10:23:52.939439;-0.354;0.483;-105.3937437236707
#time;x;y;z
2020-11-23 10:23:53.041917;-0.354;0.483;-102.23629149437133
#time;x;y;z
2020-11-23 10:23:53.139406;-0.354;0.483;-99.78049531602741
#time;x;y;z
2020-11-23 10:23:53.242015;-0.354;0.483;-96.88616410583631
#time;x;y;z
2020-11-23 10:23:53.339780;-0.354;0.483;-93.55329786379808
#time;x;y;z
2020-11-23 10:23:53.442226;-0.354;0.483;-91.0097946790847
#time;x;y;z
2020-11-23 10:23:53.539772;-0.354;0.483;-88.20317047526305
#time;x;y;z
2020-11-23 10:23:53.642124;-0.354;0.483;-85.13342525233311
#time;x;y;z
2020-11-23 10:23:53.739689;-0.354;0.483;-82.32680104851148
#time;x;y;z
2020-11-23 10:23:53.842150;-0.354;0.483;-79.34476283195097
#time;x;y;z
2020-11-23 10:23:53.939838;-0.354;0.483;-76.36272461539045
#time;x;y;z
2020-11-23 10:23:54.042640;-0.354;0.483;-73.64380741793822
#time;x;y;z
2020-11-23 10:23:54.139963;-0.354;0.483;-70.57406219500828
#time;x;y;z
2020-11-23 10:23:54.242380;-0.354;0.483;-64.78539977462613
#time;x;y;z
2020-11-23 10:23:54.340386;-0.354;0.483;-64.78539977462613
#time;x;y;z
2020-11-23 10:23:54.442105;-0.354;0.483;-61.80336155806562
#time;x;y;z
2020-11-23 10:23:54.541068;-0.354;0.483;-56.10240614405288
#time;x;y;z
2020-11-23 10:23:54.643316;-0.354;0.483;-56.10240614405288
#time;x;y;z
2020-11-23 10:23:54.739920;-0.354;0.483;-53.20807493386178
#time;x;y;z
2020-11-23 10:23:54.842402;-0.354;0.483;-50.22603671730127
#time;x;y;z
2020-11-23 10:23:54.939842;-0.354;0.483;-47.419412513479585
#time;x;y;z
2020-11-23 10:23:55.042714;-0.354;0.483;-44.525081303288516
#time;x;y;z
2020-11-23 10:23:55.139954;-0.354;0.483;-41.543043086728005
#time;x;y;z
2020-11-23 10:23:55.242771;-0.354;0.483;-38.648711876536936
#time;x;y;z
2020-11-23 10:23:55.340362;-0.354;0.483;-35.75438066634584
#time;x;y;z
2020-11-23 10:23:55.442732;-0.354;0.483;-32.77234244978533
#time;x;y;z
2020-11-23 10:23:55.540468;-0.354;0.483;-29.87801123959423
#time;x;y;z
2020-11-23 10:23:55.642945;-0.354;0.483;-26.98368002940316
#time;x;y;z
2020-11-23 10:23:55.740551;-0.354;0.483;-24.089348819212063
#time;x;y;z
2020-11-23 10:23:55.842600;-0.354;0.483;-21.107310602651552
#time;x;y;z
2020-11-23 10:23:55.940218;-0.354;0.483;-18.212979392460483
#time;x;y;z
2020-11-23 10:23:56.042993;-0.354;0.483;-15.932597226855393
#time;x;y;z
2020-11-23 10:23:56.140556;-0.354;0.483;-15.143234169530558
#time;x;y;z
2020-11-23 10:23:56.243406;-0.354;0.483;-15.406355188638827
