#time;posL;posR;velL;velR
#time;posL;posR;velL;velR
2020-11-23 10:23:42.735454;17814.0;12499.0;216.0;220.0
#time;posL;posR;velL;velR
2020-11-23 10:23:42.837595;20630.0;15331.0;220.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:23:42.934909;23419.0;18150.0;224.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:23:43.037308;26311.0;20985.0;219.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:23:43.135134;29090.0;23782.0;220.0;222.0
#time;posL;posR;velL;velR
2020-11-23 10:23:43.237848;31956.0;26637.0;218.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:23:43.335240;-30781.0;29449.0;218.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:23:43.437584;-27940.0;32318.0;220.0;220.0
#time;posL;posR;velL;velR
2020-11-23 10:23:43.535793;-25159.0;-30431.0;224.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:23:43.638197;-22280.0;-27577.0;220.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:23:43.735720;-19489.0;-24785.0;218.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:23:43.837673;-16629.0;-21934.0;220.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:23:43.935423;-13825.0;-19132.0;219.0;220.0
#time;posL;posR;velL;velR
2020-11-23 10:23:44.037793;-10994.0;-16255.0;223.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:23:44.135542;-8184.0;-13472.0;211.0;217.0
#time;posL;posR;velL;velR
2020-11-23 10:23:44.238295;-5462.0;-10626.0;142.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:23:44.336080;-3656.0;-7818.0;69.0;214.0
#time;posL;posR;velL;velR
2020-11-23 10:23:44.438485;-2794.0;-5024.0;34.0;203.0
#time;posL;posR;velL;velR
2020-11-23 10:23:44.536095;-2373.0;-2426.0;9.0;171.0
#time;posL;posR;velL;velR
2020-11-23 10:23:44.638403;-2248.0;-185.0;-11.0;148.0
#time;posL;posR;velL;velR
2020-11-23 10:23:44.736616;-2395.0;1721.0;-56.0;116.0
#time;posL;posR;velL;velR
2020-11-23 10:23:44.840767;-3100.0;3192.0;-83.0;80.0
#time;posL;posR;velL;velR
2020-11-23 10:23:44.935846;-4202.0;4188.0;-81.0;72.0
#time;posL;posR;velL;velR
2020-11-23 10:23:45.038182;-5245.0;5189.0;-85.0;92.0
#time;posL;posR;velL;velR
2020-11-23 10:23:45.137588;-6279.0;6354.0;-84.0;75.0
#time;posL;posR;velL;velR
2020-11-23 10:23:45.238468;-7373.0;7359.0;-85.0;87.0
#time;posL;posR;velL;velR
2020-11-23 10:23:45.335996;-8453.0;8397.0;-84.0;87.0
#time;posL;posR;velL;velR
2020-11-23 10:23:45.438601;-9542.0;9532.0;-83.0;74.0
#time;posL;posR;velL;velR
2020-11-23 10:23:45.536368;-10568.0;10536.0;-85.0;89.0
#time;posL;posR;velL;velR
2020-11-23 10:23:45.638627;-11672.0;11664.0;-83.0;80.0
#time;posL;posR;velL;velR
2020-11-23 10:23:45.737287;-12738.0;12676.0;-82.0;81.0
#time;posL;posR;velL;velR
2020-11-23 10:23:45.840168;-13804.0;13723.0;-84.0;85.0
#time;posL;posR;velL;velR
2020-11-23 10:23:45.936478;-14860.0;14836.0;-80.0;79.0
#time;posL;posR;velL;velR
2020-11-23 10:23:46.038983;-15915.0;15868.0;-82.0;84.0
#time;posL;posR;velL;velR
2020-11-23 10:23:46.136443;-16972.0;16923.0;-86.0;83.0
#time;posL;posR;velL;velR
2020-11-23 10:23:46.238729;-18072.0;18009.0;-84.0;79.0
#time;posL;posR;velL;velR
2020-11-23 10:23:46.336440;-19127.0;19047.0;-82.0;82.0
#time;posL;posR;velL;velR
2020-11-23 10:23:46.439068;-20202.0;20158.0;-84.0;81.0
#time;posL;posR;velL;velR
2020-11-23 10:23:46.536446;-21263.0;21207.0;-83.0;81.0
#time;posL;posR;velL;velR
2020-11-23 10:23:46.638794;-22312.0;22264.0;-83.0;83.0
#time;posL;posR;velL;velR
2020-11-23 10:23:46.736901;-23363.0;23322.0;-84.0;82.0
#time;posL;posR;velL;velR
2020-11-23 10:23:46.838921;-24454.0;24398.0;-71.0;83.0
#time;posL;posR;velL;velR
2020-11-23 10:23:46.936660;-25307.0;25465.0;-17.0;86.0
#time;posL;posR;velL;velR
2020-11-23 10:23:47.039321;-25526.0;26596.0;63.0;85.0
#time;posL;posR;velL;velR
2020-11-23 10:23:47.136757;-24704.0;27705.0;100.0;100.0
#time;posL;posR;velL;velR
2020-11-23 10:23:47.239202;-23375.0;28988.0;128.0;131.0
#time;posL;posR;velL;velR
2020-11-23 10:23:47.336928;-21762.0;30657.0;166.0;162.0
#time;posL;posR;velL;velR
2020-11-23 10:23:47.439486;-19646.0;32762.0;184.0;187.0
#time;posL;posR;velL;velR
2020-11-23 10:23:47.537006;-17264.0;-30371.0;222.0;219.0
